LON,LAT,VARIABLE,TYPE,NAME,Name_Database,Paper_Database,Code_Proxy,Reference_Proxy,Reference_Proxy_Database
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_precip_index_(Pfister)_JANDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_temp_index_(Pfister)_JANTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
-4.7278,37.5443,historical_proxy,documentary_proxy,Andalusia_DJF_precip_indexDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Rodrigo et al. 1999; Rodrigo et al. 2000,NA
11,48.5,historical_proxy,documentary_proxy,Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_FEBTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Dobrovolny et al. 2010,NA
10,51,historical_proxy,documentary_proxy,Central_Europe_(Germany)_temp_index_(GlaserRiemann)_FEBTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Glaser and Riemann 2009,NA
4.4,51.260197,natural_proxy,documentary_proxy,Low_Countries_TRecon_DJFTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Van Engelen et al. 2003,NA
11,44,natural_proxy,documentary_proxy,Northern_Italy_TRecon_DJFTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Camuffo et al. 2010,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_precip_index_(Pfister)_FEBDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_temp_index_(Pfister)_FEBTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
14.5,54,historical_proxy,documentary_proxy,Western_Baltic_Ice_severity_indexsea_ice_severity,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Koslowski and Glaser 1999,NA
14,42.5,natural_proxy,documentary_proxy,Western_Mediterranean_TRecon_DJFTRecon,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Camuffo et al. 2010,NA
14,47.5,historical_proxy,documentary_proxy,WesternMediterraneanRainfallDJFDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Camuffo et al. 2010,NA
11,48.5,historical_proxy,documentary_proxy,Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_MARTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Dobrovolny et al. 2010,NA
10,51,historical_proxy,documentary_proxy,Central_Europe_(Germany)_temp_index_(GlaserRiemann)_MARTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Glaser and Riemann 2009,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_precip_index_(Pfister)_MARDOCU_PRECIPITATION,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
7.367,47.1167,historical_proxy,documentary_proxy,Swiss_temp_index_(Pfister)_MARTindex,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Pfister 1992,NA
24.75,59.4,historical_proxy,documentary_proxy,Tallin_ice_break_upice_break_up,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Tarand and Nordli 2001,NA
135.73,35.02,historical_proxy,documentary_proxy,Cherry_Kyoto_spring,DOCU-CLIM,https://doi.org/10.1038/s41597-023-02303-y,NA,Aono and Omoto 1994; Aono and Kazui 2008; Aono and Saito 2010,NA
175.4833333,-39.35,natural_proxy,tree_proxy,B14_australia_newz011.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Australia newz011.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
146.55,-42.66666667,natural_proxy,tree_proxy,B14_australia_ausl003.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Australia ausl003.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
146.5666667,-42.65,natural_proxy,tree_proxy,B14_australia_ausl009.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Australia ausl009.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
145.5333333,-41.85,natural_proxy,tree_proxy,B14_australia_ausl024.rwl,Breitenmoser 2014,https://doi.org/10.5194/cp-10-437-2014,Australia ausl024.rwl,NA,http://cera-www.dkrz.de/WDCC/ui/Compact.jsp?acronym=EKF400_Input_Data
-37.6299,73.9402,natural_proxy,ice_proxy,ISO2k_IC00SC16_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC00SC16,"WeiSSbach, S., Wegner, A., Opel, T., Oerter, H., Vinther, B. M. and Kipfstuhl, S.: Spatial and temporal oxygen isotope variability in northern Greenland –  implications for a new climate record over the past millennium, Climate of the Past, 12(2), 171–188, doi:10.5194/cp-12-171-2016, 2016.",https://doi.org/10.25921/57j8-vs18
-36.4033,76.617,natural_proxy,ice_proxy,ISO2k_IC00SC18_bwinter,ISO2k,https://doi.org/10.5194/essd-12-2261-2020,IC00SC18,"WeiSSbach, S., Wegner, A., Opel, T., Oerter, H., Vinther, B. M. and Kipfstuhl, S.: Spatial and temporal oxygen isotope variability in northern Greenland –  implications for a new climate record over the past millennium, Climate of the Past, 12(2), 171–188, doi:10.5194/cp-12-171-2016, 2016.",https://doi.org/10.25921/57j8-vs18
