"LON","LAT","VARIABLE","TYPE","NAME","Name_Database","Paper_Database","Code_Proxy","Reference_Proxy","Reference_Proxy_Database"
11,48.5,"historical_proxy","documentary_proxy","Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_JUNTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Dobrovolny et al. 2010",NA
10,51,"historical_proxy","documentary_proxy","Central_Europe_(Germany)_temp_index_(GlaserRiemann)_JUNTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Glaser and Riemann 2009",NA
14.1318,50.53348,"historical_proxy","documentary_proxy","Czech_Wheat_Harvest_DateWheat_harvest_date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Mosny et al. 2012",NA
4.83,45.48,"historical_proxy","documentary_proxy","NorthernRhonevalleyGHDGrape_Harvest_Date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Daux et al. 2012",NA
19.45,51.77,"natural_proxy","documentary_proxy","Poland_TRecon_JunTRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Klimat Krakowa w XX wieku 2007",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_precip_index_(Pfister)_JUNDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_temp_index_(Pfister)_JUNTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
7,47,"historical_proxy","documentary_proxy","Swiss_WheatHarvestDateWheat_harvest_date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Wetter and Pfister 2011",NA
4.8397,47.025002,"historical_proxy","documentary_proxy","BeauneGHDGrape_Harvest_Date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Labbe et al. 2019",NA
11,48.5,"historical_proxy","documentary_proxy","Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_JULTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Dobrovolny et al. 2010",NA
10,51,"historical_proxy","documentary_proxy","Central_Europe_(Germany)_temp_index_(GlaserRiemann)_JULTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Glaser and Riemann 2009",NA
14.132778,50.534167,"historical_proxy","documentary_proxy","CzechGHDGrape_Harvest_Date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Mosny et al. 2016",NA
2.23,48.93,"historical_proxy","documentary_proxy","IledeFranceGHDGrape_Harvest_Date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Daux et al. 2012",NA
5.88,46.93,"historical_proxy","documentary_proxy","JuraGHDGrape_Harvest_Date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Daux et al. 2012",NA
19.45,51.77,"natural_proxy","documentary_proxy","Poland_TRecon_JulTRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Klimat Krakowa w XX wieku 2007",NA
-3.3,42.34,"historical_proxy","documentary_proxy","SpainGHDGrape_Harvest_Date","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Daux et al. 2012",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_precip_index_(Pfister)_JULDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
7.367,47.1167,"historical_proxy","documentary_proxy","Swiss_temp_index_(Pfister)_JULTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Pfister 1992",NA
-4.7278,37.5443,"historical_proxy","documentary_proxy","Andalusia_JJA_precip_indexDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Rodrigo et al. 1999; Rodrigo et al. 2000",NA
11,48.5,"historical_proxy","documentary_proxy","Central_Europe_(Czech_Lands)_temp_index_(Dorbovolny)_AUGTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Dobrovolny et al. 2010",NA
10,51,"historical_proxy","documentary_proxy","Central_Europe_(Germany)_temp_index_(GlaserRiemann)_AUGTindex","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Glaser and Riemann 2009",NA
16.333333,48.3,"historical_proxy","documentary_proxy","Czech_lands_AMJJA_SPEIDOCU_PRECIPITATION","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Maurer et al. 2009",NA
4.4,51.260197,"natural_proxy","documentary_proxy","Low_Countries_TRecon_JJATRecon","DOCU-CLIM","https://doi.org/10.1038/s41597-023-02303-y",NA,"Van Engelen et al. 2003",NA
